id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by
1;system;$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG;System;System;system@localhost;;true;en;system;system
2;anonymoususer;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;User;anonymous@localhost;;true;en;system;system
3;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;;true;en;system;system
4;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;;true;en;system;system
11;test1;NULL;;;NULL;;true;en;system;system
12;test2;NULL;;;NULL;;true;en;system;system
13;test3;NULL;;;NULL;;true;en;system;system
14;test4;NULL;;;NULL;;true;en;system;system
15;test5;NULL;;;NULL;;true;en;system;system
16;test6;NULL;;;NULL;;true;en;system;system
17;test7;NULL;;;NULL;;true;en;system;system
18;test8;NULL;;;NULL;;true;en;system;system
19;test9;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;;;NULL;;true;en;system;system
100;cypressexisting;$2a$10$xfxxf5eZbLo0S70V55c8FO6R.741QpR4Lkh84749m/B7kP6/XIFc2;;;NULL;;true;en;system;system
101;cypressnew;NULL;;;NULL;;true;en;system;system
